,human_genes,mouse_genes,mouse_read,mouse_inhuman,chick_genes,chick_read,chick_inhuman,mouse_CAPSON,macaque_genes,macaque_inchick,macaque_inhuman,macaque_inmouse
0,A1CF,A1cf,True,True,A1CF,True,True,A1CF,A1CF,,,
1,A4GALT,A4galt,True,True,A4GALT,True,True,A4GALT,A4GALT,,,
2,A4GNT,A4gnt,True,True,A4GNT,True,True,A4GNT,A4GNT,,,
4,AACS,Aacs,True,True,AACS,True,True,AACS,AACS,,,
5,AADAC,Aadac,True,True,AADAC,True,True,AADAC,AADAC,,,
6,AADAT,Aadat,True,True,AADAT,True,True,AADAT,AADAT,,,
8,AAK1,Aak1,True,True,AAK1,True,True,AAK1,AAK1,,,
10,AAMP,Aamp,True,True,AAMP,True,True,AAMP,AAMP,,,
11,AANAT,Aanat,True,True,AANAT,True,True,AANAT,AANAT,,,
12,AAR2,Aar2,True,True,AAR2,True,True,AAR2,AAR2,,,
13,AARS2,Aars2,True,True,AARS2,True,True,AARS2,AARS2,,,
14,AARSD1,Ptges3l,True,True,AARSD1,True,True,PTGES3L,PTGES3L,,,
16,AASDH,Aasdh,True,True,AASDH,True,True,AASDH,AASDH,,,
17,AASDHPPT,Aasdhppt,True,True,AASDHPPT,True,True,AASDHPPT,AASDHPPT,,,
18,AASS,Aass,True,True,AASS,True,True,AASS,AASS,,,
20,AATK,Aatk,True,True,AATK,True,True,AATK,AATK,,,
21,ABAT,Abat,True,True,ABAT,True,True,ABAT,ABAT,,,
22,ABCA1,Abca1,True,True,ABCA1,True,True,ABCA1,ABCA1,,,
23,ABCA12,Abca12,True,True,ABCA12,True,True,ABCA12,ABCA12,,,
24,ABCA2,Abca2,True,True,ABCA2,True,True,ABCA2,ABCA2,,,
25,ABCA3,Abca3,True,True,ABCA3,True,True,ABCA3,ABCA3,,,
26,ABCA4,Abca4,True,True,ABCA4,True,True,ABCA4,ABCA4,,,
27,ABCA5,Abca5,True,True,ABCA5,True,True,ABCA5,ABCA5,,,
30,ABCB10,Abcb10,True,True,ABCB10,True,True,ABCB10,ABCB10,,,
31,ABCB11,Abcb11,True,True,ABCB11,True,True,ABCB11,ABCB11,,,
32,ABCB6,Abcb6,True,True,ABCB6,True,True,ABCB6,ABCB6,,,
33,ABCB7,Abcb7,True,True,ABCB7,True,True,ABCB7,ABCB7,,,
34,ABCB8,Abcb8,True,True,ABCB8,True,True,ABCB8,ABCB8,,,
35,ABCB9,Abcb9,True,True,ABCB9,True,True,ABCB9,ABCB9,,,
36,ABCC1,Abcc1,True,True,ABCC1,True,True,ABCC1,ABCC1,,,
37,ABCC4,Abcc4,True,True,ABCC4,True,True,ABCC4,ABCC4,,,
39,ABCC6,Abcc6,True,True,ABCC6,True,True,ABCC6,ABCC6,,,
40,ABCC8,Abcc8,True,True,ABCC8,True,True,ABCC8,ABCC8,,,
41,ABCC9,Abcc9,True,True,ABCC9,True,True,ABCC9,ABCC9,,,
42,ABCD2,Abcd2,True,True,ABCD2,True,True,ABCD2,ABCD2,,,
44,ABCD4,Abcd4,True,True,ABCD4,True,True,ABCD4,ABCD4,,,
47,ABCG1,Abcg1,True,True,ABCG1,True,True,ABCG1,ABCG1,,,
48,ABCG2,Abcg2,True,True,ABCG2,False,True,ABCG2,ABCG2,,,
50,ABCG4,Abcg4,True,True,ABCG4,True,True,ABCG4,ABCG4,,,
